NEW SOUTH WALES,LGA,"Persons, 0-4 yearsNumber",Total persons,%,,"Persons, 5-9 yearsNumber",Total persons,%,,"Persons, 10-14 yearsNumber",Total persons,%,,"Persons, 15-19 yearsNumber",Total persons,%,,"Persons, 20-24 yearsNumber",Total persons,%,,"Persons, 25-29 yearsNumber",Total persons,%,,"Persons, 30-34 yearsNumber",Total persons,%,,"Persons, 35-39 yearsNumber",Total persons,%,,"Persons, 40-44 yearsNumber",Total persons,%,,"Persons, 45-49 yearsNumber",Total persons,%,,"Persons, 50-54 yearsNumber",Total persons,%,,"Persons, 55-59 yearsNumber",Total persons,%,,"Persons, 60-64 yearsNumber",Total persons,%,,"Persons, 65-69 yearsNumber",Total persons,%,,"Persons, 70-74 yearsNumber",Total persons,%,,"Persons, 75-79 yearsNumber",Total persons,%,,"Persons, 80-84 yearsNumber",Total persons,%,,"Persons, 85 years and overNumber",Total persons,%
11500,Campbelltown (C),12988,168139,7.724561226,,12528,168139,7.45097806,,11359,168139,6.75571997,,11051,168139,6.572538198,,12339,168139,7.338571063,,12735,168139,7.574090485,,13207,168139,7.854810603,,12547,168139,7.462278234,,10710,168139,6.369729807,,9862,168139,5.865385187,,9733,168139,5.788662951,,9972,168139,5.930807249,,8846,168139,5.261123237,,7532,168139,4.479626975,,5711,168139,3.396594484,,3276,168139,1.948387941,,2019,168139,1.200792202,,1724,168139,1.025342128
11520,Canada Bay (A),5883,95159,6.182284387,,4994,95159,5.248058513,,4419,95159,4.643806681,,4256,95159,4.472514423,,7125,95159,7.487468342,,9324,95159,9.798337519,,8985,95159,9.442091657,,7664,95159,8.053888755,,6490,95159,6.820164146,,6296,95159,6.616294833,,5592,95159,5.876480417,,5381,95159,5.654746267,,4597,95159,4.830862031,,4069,95159,4.276001219,,3483,95159,3.660189788,,2453,95159,2.577790855,,1872,95159,1.967233788,,2276,95159,2.391786379
11570,Canterbury-Bankstown (A),27650,373931,7.394412338,,25521,373931,6.82505596,,23150,373931,6.190981759,,22895,373931,6.122787359,,27755,373931,7.422492385,,30762,373931,8.226651441,,29782,373931,7.964571004,,26427,373931,7.06734665,,23435,373931,6.267199029,,23109,373931,6.180017169,,21887,373931,5.853218909,,21406,373931,5.724585552,,18541,373931,4.958401416,,14680,373931,3.925857979,,12396,373931,3.315050103,,9181,373931,2.455265811,,7282,373931,1.947418107,,8072,373931,2.15868703
11600,Carrathool (A),198,2802,7.066381156,,183,2802,6.531049251,,204,2802,7.280513919,,132,2802,4.710920771,,147,2802,5.246252677,,228,2802,8.137044968,,172,2802,6.13847252,,160,2802,5.710206995,,183,2802,6.531049251,,194,2802,6.923625981,,197,2802,7.030692363,,209,2802,7.458957887,,187,2802,6.673804425,,128,2802,4.568165596,,89,2802,3.176302641,,74,2802,2.640970735,,61,2802,2.177016417,,56,2802,1.998572448
11650,Central Coast (C),20887,342047,6.106470748,,21927,342047,6.410522531,,21886,342047,6.398535874,,20639,342047,6.033966092,,20016,342047,5.85182738,,18957,342047,5.542220806,,19465,342047,5.690738407,,20012,342047,5.850657951,,20471,342047,5.984850035,,22954,342047,6.710773666,,21266,342047,6.217274234,,22649,342047,6.621604633,,20877,342047,6.103547173,,19190,342047,5.610340099,,18275,342047,5.342833002,,13181,342047,3.853563984,,9143,342047,2.673024467,,10252,342047,2.997248916
11700,Central Darling (A),146,1837,7.947740882,,138,1837,7.512248231,,92,1837,5.008165487,,117,1837,6.369080022,,112,1837,6.096897115,,134,1837,7.294501905,,121,1837,6.586826347,,133,1837,7.240065324,,94,1837,5.11703865,,110,1837,5.988023952,,119,1837,6.477953185,,121,1837,6.586826347,,122,1837,6.641262929,,92,1837,5.008165487,,86,1837,4.681545999,,53,1837,2.885138813,,24,1837,1.306477953,,23,1837,1.252041372
11720,Cessnock (C),4206,59101,7.116630852,,4225,59101,7.148779208,,4071,59101,6.888208321,,3601,59101,6.09295951,,3733,59101,6.316305985,,4074,59101,6.893284378,,4043,59101,6.840831796,,3795,59101,6.421211147,,3460,59101,5.854384867,,3791,59101,6.414443072,,3331,59101,5.636114448,,3820,59101,6.463511616,,3522,59101,5.959290029,,3162,59101,5.35016328,,2620,59101,4.433089119,,1548,59101,2.619245021,,1060,59101,1.793539872,,1039,59101,1.758007479
11730,Clarence Valley (A),2641,51647,5.113559355,,3001,51647,5.810598873,,3094,51647,5.990667415,,3054,51647,5.91321858,,2163,51647,4.188045772,,2126,51647,4.1164056,,2282,51647,4.418456057,,2347,51647,4.544310415,,2647,51647,5.12517668,,3235,51647,6.26367456,,3387,51647,6.557980134,,4121,51647,7.979166263,,4170,51647,8.074041087,,4036,51647,7.814587488,,3522,51647,6.819369954,,2415,51647,4.675973435,,1752,51647,3.392258989,,1654,51647,3.202509342
11750,Cobar (A),369,4722,7.814485388,,368,4722,7.79330792,,323,4722,6.840321898,,259,4722,5.484963998,,230,4722,4.87081745,,366,4722,7.750952986,,383,4722,8.110969928,,309,4722,6.543837357,,291,4722,6.162642948,,271,4722,5.739093604,,309,4722,6.543837357,,343,4722,7.263871241,,272,4722,5.760271072,,211,4722,4.468445574,,155,4722,3.282507412,,106,4722,2.244811521,,90,4722,1.905972046,,67,4722,1.418890301
11800,Coffs Harbour (C),4433,76551,5.790910635,,5074,76551,6.628260898,,4912,76551,6.416637274,,4728,76551,6.17627464,,3848,76551,5.026714217,,4148,76551,5.418609816,,4152,76551,5.42383509,,4187,76551,5.469556244,,4373,76551,5.712531515,,4869,76551,6.360465572,,4780,76551,6.244203211,,5527,76551,7.220023252,,5342,76551,6.9783543,,4989,76551,6.517223812,,4140,76551,5.408159266,,2914,76551,3.806612585,,2024,76551,2.643988975,,2111,76551,2.757638698
