NEW SOUTH WALES,LGA,"Persons, 0-4 yearsNumber",Total persons,%,,"Persons, 5-9 yearsNumber",Total persons,%,,"Persons, 10-14 yearsNumber",Total persons,%,,"Persons, 15-19 yearsNumber",Total persons,%,,"Persons, 20-24 yearsNumber",Total persons,%,,"Persons, 25-29 yearsNumber",Total persons,%,,"Persons, 30-34 yearsNumber",Total persons,%,,"Persons, 35-39 yearsNumber",Total persons,%,,"Persons, 40-44 yearsNumber",Total persons,%,,"Persons, 45-49 yearsNumber",Total persons,%,,"Persons, 50-54 yearsNumber",Total persons,%,,"Persons, 55-59 yearsNumber",Total persons,%,,"Persons, 60-64 yearsNumber",Total persons,%,,"Persons, 65-69 yearsNumber",Total persons,%,,"Persons, 70-74 yearsNumber",Total persons,%,,"Persons, 75-79 yearsNumber",Total persons,%,,"Persons, 80-84 yearsNumber",Total persons,%,,"Persons, 85 years and overNumber",Total persons,%
17310,Tamworth Regional (A),4103,62156,6.601132634,,4427,62156,7.122401699,,4394,62156,7.069309479,,4065,62156,6.539996139,,3334,62156,5.363923032,,4098,62156,6.593088358,,3960,62156,6.371066349,,3661,62156,5.890018663,,3444,62156,5.540897098,,3896,62156,6.26809962,,3695,62156,5.944719737,,3928,62156,6.319582985,,3695,62156,5.944719737,,3413,62156,5.491022588,,2896,62156,4.659244482,,2155,62156,3.467082824,,1511,62156,2.430980115,,1481,62156,2.38271446
17350,Temora (A),402,6274,6.407395601,,428,6274,6.821804272,,402,6274,6.407395601,,375,6274,5.977048135,,269,6274,4.287535862,,295,6274,4.701944533,,321,6274,5.116353204,,284,6274,4.526617788,,306,6274,4.877271278,,360,6274,5.73796621,,440,6274,7.013069812,,468,6274,7.459356073,,418,6274,6.662416321,,428,6274,6.821804272,,396,6274,6.311762831,,278,6274,4.430985018,,211,6274,3.363085751,,193,6274,3.07618744
17400,Tenterfield (A),299,6638,4.504368786,,374,6638,5.634227177,,381,6638,5.739680627,,351,6638,5.28773727,,202,6638,3.043085267,,214,6638,3.223862609,,200,6638,3.01295571,,282,6638,4.24826755,,347,6638,5.227478156,,407,6638,6.131364869,,414,6638,6.236818319,,609,6638,9.174450136,,666,6638,10.03314251,,647,6638,9.74691172,,570,6638,8.586923772,,305,6638,4.594757457,,204,6638,3.073214824,,166,6638,2.500753239
17420,The Hills Shire (A),10609,172473,6.15110771,,13367,172473,7.750198582,,12851,172473,7.451021319,,12245,172473,7.099661976,,11800,172473,6.841650577,,9171,172473,5.317354021,,9506,172473,5.511587321,,12655,172473,7.337380344,,12981,172473,7.526395436,,13236,172473,7.674244664,,11045,172473,6.4039009,,10511,172473,6.094287222,,9097,172473,5.274448754,,8053,172473,4.669136618,,6679,172473,3.872490187,,4062,172473,2.355151241,,2588,172473,1.50052472,,2017,172473,1.169458408
17550,Tweed (A),5131,96108,5.338785533,,5757,96108,5.990136097,,5688,96108,5.918341865,,5418,96108,5.637407916,,4490,96108,4.671827527,,4103,96108,4.269155533,,4666,96108,4.854954842,,5134,96108,5.341907021,,5508,96108,5.731052566,,6265,96108,6.51870812,,5874,96108,6.111874142,,7095,96108,7.38231989,,7045,96108,7.330295085,,6695,96108,6.966121447,,5886,96108,6.124360095,,4444,96108,4.623964706,,3324,96108,3.458609065,,3585,96108,3.730178549
17620,Upper Hunter Shire (A),845,14220,5.94233474,,994,14220,6.990154712,,1122,14220,7.890295359,,850,14220,5.977496484,,665,14220,4.676511955,,762,14220,5.358649789,,910,14220,6.399437412,,830,14220,5.836849508,,867,14220,6.097046414,,959,14220,6.744022504,,897,14220,6.308016878,,992,14220,6.976090014,,901,14220,6.336146273,,797,14220,5.604781997,,660,14220,4.641350211,,456,14220,3.206751055,,362,14220,2.545710267,,351,14220,2.46835443
17640,Upper Lachlan Shire (A),462,7961,5.803291044,,496,7961,6.230373069,,487,7961,6.117321944,,488,7961,6.129883181,,343,7961,4.308503957,,328,7961,4.120085416,,316,7961,3.969350584,,384,7961,4.823514634,,436,7961,5.476698907,,536,7961,6.73282251,,578,7961,7.260394423,,658,7961,8.265293305,,579,7961,7.272955659,,580,7961,7.285516895,,465,7961,5.840974752,,387,7961,4.861198342,,214,7961,2.688104509,,224,7961,2.81371687
17650,Uralla (A),303,6062,4.998350379,,368,6062,6.070603761,,477,6062,7.868690201,,408,6062,6.730451996,,244,6062,4.025074233,,251,6062,4.140547674,,242,6062,3.992081821,,289,6062,4.767403497,,348,6062,5.740679644,,438,6062,7.225338172,,436,6062,7.19234576,,510,6062,8.413064995,,491,6062,8.099637083,,410,6062,6.763444408,,367,6062,6.054107555,,257,6062,4.239524909,,108,6062,1.781590234,,115,6062,1.897063675
17750,Wagga Wagga (C),4572,64820,7.053378587,,4530,64820,6.98858377,,4258,64820,6.568960197,,4490,64820,6.926874421,,5162,64820,7.963591484,,4950,64820,7.636531935,,4470,64820,6.896019747,,3959,64820,6.107682814,,3715,64820,5.731255785,,3974,64820,6.13082382,,3598,64820,5.55075594,,3861,64820,5.956494909,,3472,64820,5.35637149,,2942,64820,4.538722616,,2397,64820,3.697932737,,1820,64820,2.807775378,,1278,64820,1.971613699,,1372,64820,2.11663067
17850,Walcha (A),180,3132,5.747126437,,181,3132,5.779054917,,187,3132,5.970625798,,169,3132,5.395913155,,122,3132,3.895274585,,163,3132,5.204342273,,142,3132,4.533844189,,146,3132,4.66155811,,146,3132,4.66155811,,208,3132,6.641123883,,201,3132,6.417624521,,234,3132,7.471264368,,234,3132,7.471264368,,242,3132,7.726692209,,212,3132,6.768837803,,183,3132,5.842911877,,97,3132,3.09706258,,85,3132,2.713920817
17900,Walgett (A),404,6051,6.676582383,,430,6051,7.106263428,,459,6051,7.585523054,,249,6051,4.11502231,,247,6051,4.081969922,,387,6051,6.395637085,,336,6051,5.55280119,,332,6051,5.486696414,,304,6051,5.023962981,,404,6051,6.676582383,,394,6051,6.511320443,,485,6051,8.015204098,,452,6051,7.469839696,,396,6051,6.544372831,,332,6051,5.486696414,,245,6051,4.048917534,,122,6051,2.01619567,,73,6051,1.206412163
17950,Warren (A),201,2745,7.322404372,,211,2745,7.686703097,,199,2745,7.249544627,,140,2745,5.100182149,,101,2745,3.679417122,,175,2745,6.375227687,,155,2745,5.646630237,,146,2745,5.318761384,,145,2745,5.282331512,,161,2745,5.865209472,,156,2745,5.683060109,,223,2745,8.123861566,,163,2745,5.938069217,,179,2745,6.520947177,,149,2745,5.428051002,,114,2745,4.153005464,,72,2745,2.62295082,,55,2745,2.003642987
18020,Warrumbungle Shire (A),517,9399,5.500585169,,580,9399,6.170869241,,653,9399,6.947547611,,596,9399,6.341100117,,344,9399,3.659963826,,323,9399,3.436535802,,391,9399,4.160017023,,376,9399,4.000425577,,507,9399,5.394190871,,597,9399,6.351739547,,619,9399,6.585807001,,694,9399,7.38376423,,719,9399,7.649749973,,697,9399,7.415682519,,686,9399,7.298648792,,451,9399,4.798382807,,329,9399,3.50037238,,320,9399,3.404617513
18050,Waverley (A),4598,74114,6.203956068,,3899,74114,5.260814421,,3328,74114,4.490379685,,2841,74114,3.83328386,,4253,74114,5.738456972,,8455,74114,11.40810103,,9349,74114,12.61435086,,7048,74114,9.509674286,,5401,74114,7.287422079,,4979,74114,6.718028982,,4003,74114,5.401138786,,3481,74114,4.696818415,,2958,74114,3.991148771,,2751,74114,3.711849313,,2367,74114,3.19372858,,1546,74114,2.085975659,,1217,74114,1.642064927,,1640,74114,2.212807297
18100,Weddin (A),179,3636,4.922992299,,215,3636,5.913091309,,223,3636,6.133113311,,182,3636,5.00550055,,125,3636,3.437843784,,134,3636,3.685368537,,132,3636,3.630363036,,183,3636,5.0330033,,184,3636,5.060506051,,206,3636,5.665566557,,268,3636,7.370737074,,278,3636,7.645764576,,305,3636,8.388338834,,299,3636,8.223322332,,270,3636,7.425742574,,191,3636,5.253025303,,135,3636,3.712871287,,127,3636,3.492849285
18200,Wentworth (A),476,7042,6.75944334,,465,7042,6.603237717,,468,7042,6.64583925,,419,7042,5.950014201,,305,7042,4.331155922,,341,7042,4.842374325,,347,7042,4.927577393,,354,7042,5.026980971,,386,7042,5.48139733,,455,7042,6.461232604,,455,7042,6.461232604,,558,7042,7.92388526,,530,7042,7.526270946,,461,7042,6.546435672,,429,7042,6.092019313,,273,7042,3.876739563,,172,7042,2.44248793,,148,7042,2.10167566
18250,Willoughby (C),5123,80339,6.376728613,,5666,80339,7.052614546,,4871,80339,6.063057793,,4267,80339,5.311243605,,5053,80339,6.289597829,,5900,80339,7.343880307,,6372,80339,7.931390732,,7046,80339,8.770335702,,6325,80339,7.872888634,,5783,80339,7.198247427,,4831,80339,6.013268774,,4311,80339,5.366011526,,3763,80339,4.683901965,,3299,80339,4.106349345,,2744,80339,3.415526706,,1780,80339,2.215611347,,1376,80339,1.712742255,,1829,80339,2.276602895
18350,Wingecarribee (A),2573,50493,5.095755847,,3063,50493,6.066187392,,3315,50493,6.565266473,,3455,50493,6.842532628,,2204,50493,4.36496148,,2138,50493,4.234250292,,2244,50493,4.444180381,,2397,50493,4.74719268,,2788,50493,5.521557444,,3359,50493,6.652407264,,3264,50493,6.464262373,,3495,50493,6.92175153,,3334,50493,6.602895451,,3524,50493,6.979185234,,3657,50493,7.242588082,,2628,50493,5.204681837,,1604,50493,3.176677955,,1451,50493,2.873665657
18400,Wollondilly (A),3658,52230,7.003637756,,3940,52230,7.543557343,,3891,52230,7.449741528,,3663,52230,7.013210798,,3354,52230,6.421596783,,3153,52230,6.036760482,,3320,52230,6.356500096,,3297,52230,6.312464101,,3460,52230,6.62454528,,3799,52230,7.273597549,,3314,52230,6.345012445,,3373,52230,6.457974344,,2871,52230,5.496840896,,2492,52230,4.771204289,,1986,52230,3.802412407,,1210,52230,2.31667624,,797,52230,1.525942945,,652,52230,1.248324718
18450,Wollongong (C),12993,216071,6.013301183,,13275,216071,6.143813839,,12632,216071,5.846226472,,13248,216071,6.131317946,,18016,216071,8.338000009,,15957,216071,7.385072499,,13942,216071,6.452508666,,13465,216071,6.231747898,,13266,216071,6.139648541,,14128,216071,6.538591482,,12844,216071,5.944342369,,13509,216071,6.252111574,,11814,216071,5.467647209,,10253,216071,4.745199495,,9094,216071,4.208801736,,6815,216071,3.154055843,,5380,216071,2.489922294,,5440,216071,2.517690944
18500,Woollahra (A),3044,58964,5.162472017,,3000,58964,5.087850214,,3002,58964,5.091242114,,2949,58964,5.00135676,,3452,58964,5.854419646,,5519,58964,9.359948443,,5189,58964,8.80028492,,4290,58964,7.275625806,,3762,58964,6.380164168,,3981,58964,6.751577234,,3540,58964,6.003663252,,3433,58964,5.822196595,,3018,58964,5.118377315,,2829,58964,4.797842752,,2940,58964,4.986093209,,1948,58964,3.303710739,,1351,58964,2.291228546,,1717,58964,2.911946272
18710,Yass Valley (A),1036,16953,6.1110128,,1245,16953,7.34383295,,1312,16953,7.739043237,,1106,16953,6.52391907,,815,16953,4.807408718,,749,16953,4.418097092,,819,16953,4.831003362,,963,16953,5.680410547,,1159,16953,6.836548104,,1421,16953,8.381997287,,1218,16953,7.184569103,,1192,16953,7.031203917,,1096,16953,6.46493246,,945,16953,5.574234649,,777,16953,4.5832596,,504,16953,2.972925146,,308,16953,1.816787589,,288,16953,1.698814369
19399,Unincorporated NSW,69,1080,6.388888889,,82,1080,7.592592593,,53,1080,4.907407407,,16,1080,1.481481481,,31,1080,2.87037037,,102,1080,9.444444444,,67,1080,6.203703704,,96,1080,8.888888889,,62,1080,5.740740741,,73,1080,6.759259259,,62,1080,5.740740741,,126,1080,11.66666667,,65,1080,6.018518519,,54,1080,5,,43,1080,3.981481481,,39,1080,3.611111111,,20,1080,1.851851852,,20,1080,1.851851852
